14B4 s_player
14C4 s_attack
17B2 s_rocket
17C2 s_smoke1
17D2 s_smoke2
17E2 s_smoke3
17F2 s_smoke4
1802 s_boom1
1812 s_boom2
1822 s_boom3
1832 s_hrocket
1842 s_hsmoke1
1852 s_hsmoke2
1862 s_hsmoke3
1872 s_hsmoke4
1882 s_hboom1
1892 s_hboom2
18A2 s_hboom3
18B2 s_grdstand
18C2 s_grdpath1
18D2 s_grdpath1s
18E2 s_grdpath2
18F2 s_grdpath3
1902 s_grdpath3s
1912 s_grdpath4
1922 s_grdpain
1932 s_grdpain1
1942 s_grdshoot1
1952 s_grdshoot2
1962 s_grdshoot3
1972 s_grdchase1
1982 s_grdchase1s
1992 s_grdchase2
19A2 s_grdchase3
19B2 s_grdchase3s
19C2 s_grdchase4
19D2 s_grddie1
19E2 s_grddie2
19F2 s_grddie3
1A02 s_grddie4
1A12 s_dogpath1
1A22 s_dogpath1s
1A32 s_dogpath2
1A42 s_dogpath3
1A52 s_dogpath3s
1A62 s_dogpath4
1A72 s_dogjump1
1A82 s_dogjump2
1A92 s_dogjump3
1AA2 s_dogjump4
1AB2 s_dogjump5
1AC2 s_dogchase1
1AD2 s_dogchase1s
1AE2 s_dogchase2
1AF2 s_dogchase3
1B02 s_dogchase3s
1B12 s_dogchase4
1B22 s_dogdie1
1B32 s_dogdie2
1B42 s_dogdie3
1B52 s_dogdead
1B62 s_ofcstand
1B72 s_ofcpath1
1B82 s_ofcpath1s
1B92 s_ofcpath2
1BA2 s_ofcpath3
1BB2 s_ofcpath3s
1BC2 s_ofcpath4
1BD2 s_ofcpain
1BE2 s_ofcpain1
1BF2 s_ofcshoot1
1C02 s_ofcshoot2
1C12 s_ofcshoot3
1C22 s_ofcchase1
1C32 s_ofcchase1s
1C42 s_ofcchase2
1C52 s_ofcchase3
1C62 s_ofcchase3s
1C72 s_ofcchase4
1C82 s_ofcdie1
1C92 s_ofcdie2
1CA2 s_ofcdie3
1CB2 s_ofcdie4
1CC2 s_ofcdie5
1CD2 s_mutstand
1CE2 s_mutpath1
1CF2 s_mutpath1s
1D02 s_mutpath2
1D12 s_mutpath3
1D22 s_mutpath3s
1D32 s_mutpath4
1D42 s_mutpain
1D52 s_mutpain1
1D62 s_mutshoot1
1D72 s_mutshoot2
1D82 s_mutshoot3
1D92 s_mutshoot4
1DA2 s_mutchase1
1DB2 s_mutchase1s
1DC2 s_mutchase2
1DD2 s_mutchase3
1DE2 s_mutchase3s
1DF2 s_mutchase4
1E02 s_mutdie1
1E12 s_mutdie2
1E22 s_mutdie3
1E32 s_mutdie4
1E42 s_mutdie5
1E52 s_ssstand
1E62 s_sspath1
1E72 s_sspath1s
1E82 s_sspath2
1E92 s_sspath3
1EA2 s_sspath3s
1EB2 s_sspath4
1EC2 s_sspain
1ED2 s_sspain1
1EE2 s_ssshoot1
1EF2 s_ssshoot2
1F02 s_ssshoot3
1F12 s_ssshoot4
1F22 s_ssshoot5
1F32 s_ssshoot6
1F42 s_ssshoot7
1F52 s_ssshoot8
1F62 s_ssshoot9
1F72 s_sschase1
1F82 s_sschase1s
1F92 s_sschase2
1FA2 s_sschase3
1FB2 s_sschase3s
1FC2 s_sschase4
1FD2 s_ssdie1
1FE2 s_ssdie2
1FF2 s_ssdie3
2002 s_ssdie4
2024 s_transstand
2034 s_transchase1
2044 s_transchase1s
2054 s_transchase2
2064 s_transchase3
2074 s_transchase3s
2084 s_transchase4
2094 s_transdie0
20A4 s_transdie01
20B4 s_transdie1
20C4 s_transdie2
20D4 s_transdie3
20E4 s_transdie4
20F4 s_transshoot1
2104 s_transshoot2
2114 s_transshoot3
2124 s_transshoot4
2134 s_transshoot5
2144 s_transshoot6
2154 s_transshoot7
2164 s_transshoot8
2174 s_uberstand
2184 s_uberchase1
2194 s_uberchase1s
21A4 s_uberchase2
21B4 s_uberchase3
21C4 s_uberchase3s
21D4 s_uberchase4
21E4 s_uberdie0
21F4 s_uberdie01
2204 s_uberdie1
2214 s_uberdie2
2224 s_uberdie3
2234 s_uberdie4
