17A2 s_player
17B2 s_attack
1A60 s_grdstand
1A70 s_grdpath1
1A80 s_grdpath1s
1A90 s_grdpath2
1AA0 s_grdpath3
1AB0 s_grdpath3s
1AC0 s_grdpath4
1AD0 s_grdpain
1AE0 s_grdshoot1
1AF0 s_grdshoot2
1B00 s_grdshoot3
1B10 s_grdchase1
1B20 s_grdchase1s
1B30 s_grdchase2
1B40 s_grdchase3
1B50 s_grdchase3s
1B60 s_grdchase4
1B70 s_grddie1
1B80 s_grddie2
1B90 s_grddie3
1BA0 s_grddie4
1BB0 s_blinkychase1
1BC0 s_blinkychase2
1BD0 s_inkychase1
1BE0 s_inkychase2
1BF0 s_pinkychase1
1C00 s_pinkychase2
1C10 s_clydechase1
1C20 s_clydechase2
1C30 s_dogpath1
1C40 s_dogpath1s
1C50 s_dogpath2
1C60 s_dogpath3
1C70 s_dogpath3s
1C80 s_dogpath4
1C90 s_dogjump1
1CA0 s_dogjump2
1CB0 s_dogjump3
1CC0 s_dogjump4
1CD0 s_dogjump5
1CE0 s_dogchase1
1CF0 s_dogchase1s
1D00 s_dogchase2
1D10 s_dogchase3
1D20 s_dogchase3s
1D30 s_dogchase4
1D40 s_dogdie1
1D50 s_dogdie2
1D60 s_dogdie3
1D70 s_dogdead
1D80 s_ofcstand
1D90 s_ofcpath1
1DA0 s_ofcpath1s
1DB0 s_ofcpath2
1DC0 s_ofcpath3
1DD0 s_ofcpath3s
1DE0 s_ofcpath4
1DF0 s_ofcpain
1E00 s_ofcshoot1
1E10 s_ofcshoot2
1E20 s_ofcshoot3
1E30 s_ofcchase1
1E40 s_ofcchase1s
1E50 s_ofcchase2
1E60 s_ofcchase3
1E70 s_ofcchase3s
1E80 s_ofcchase4
1E90 s_ofcdie1
1EA0 s_ofcdie2
1EB0 s_ofcdie3
1EC0 s_ofcdie4
1ED0 s_ofcdie5
1EE0 s_mutstand
1EF0 s_mutpath1
1F00 s_mutpath1s
1F10 s_mutpath2
1F20 s_mutpath3
1F30 s_mutpath3s
1F40 s_mutpath4
1F50 s_mutpain
1F60 s_mutshoot1
1F70 s_mutshoot2
1F80 s_mutshoot3
1F90 s_mutshoot4
1FA0 s_mutchase1
1FB0 s_mutchase1s
1FC0 s_mutchase2
1FD0 s_mutchase3
1FE0 s_mutchase3s
1FF0 s_mutchase4
2000 s_mutdie1
2010 s_mutdie2
2020 s_mutdie3
2030 s_mutdie4
2040 s_mutdie5
2050 s_ssstand
2060 s_sspath1
2070 s_sspath1s
2080 s_sspath2
2090 s_sspath3
20A0 s_sspath3s
20B0 s_sspath4
20C0 s_sspain
20D0 s_ssshoot1
20E0 s_ssshoot2
20F0 s_ssshoot3
2100 s_ssshoot4
2110 s_ssshoot5
2120 s_ssshoot6
2130 s_ssshoot7
2140 s_ssshoot8
2150 s_ssshoot9
2160 s_sschase1
2170 s_sschase1s
2180 s_sschase2
2190 s_sschase3
21A0 s_sschase3s
21B0 s_sschase4
21C0 s_ssdie1
21D0 s_ssdie2
21E0 s_ssdie3
21F0 s_ssdie4
