181C s_player
182C s_attack
1B0A s_rocket
1B1A s_smoke1
1B2A s_smoke2
1B3A s_smoke3
1B4A s_smoke4
1B5A s_boom1
1B6A s_boom2
1B7A s_boom3
1B8A s_grdstand
1B9A s_grdpath1
1BAA s_grdpath1s
1BBA s_grdpath2
1BCA s_grdpath3
1BDA s_grdpath3s
1BEA s_grdpath4
1BFA s_grdpain
1C0A s_grdpain1
1C1A s_grdshoot1
1C2A s_grdshoot2
1C3A s_grdshoot3
1C4A s_grdchase1
1C5A s_grdchase1s
1C6A s_grdchase2
1C7A s_grdchase3
1C8A s_grdchase3s
1C9A s_grdchase4
1CAA s_grddie1
1CBA s_grddie2
1CCA s_grddie3
1CDA s_grddie4
1CEA s_blinkychase1
1CFA s_blinkychase2
1D0A s_inkychase1
1D1A s_inkychase2
1D2A s_pinkychase1
1D3A s_pinkychase2
1D4A s_clydechase1
1D5A s_clydechase2
1D6A s_dogpath1
1D7A s_dogpath1s
1D8A s_dogpath2
1D9A s_dogpath3
1DAA s_dogpath3s
1DBA s_dogpath4
1DCA s_dogjump1
1DDA s_dogjump2
1DEA s_dogjump3
1DFA s_dogjump4
1E0A s_dogjump5
1E1A s_dogchase1
1E2A s_dogchase1s
1E3A s_dogchase2
1E4A s_dogchase3
1E5A s_dogchase3s
1E6A s_dogchase4
1E7A s_dogdie1
1E8A s_dogdie2
1E9A s_dogdie3
1EAA s_dogdead
1EBA s_ofcstand
1ECA s_ofcpath1
1EDA s_ofcpath1s
1EEA s_ofcpath2
1EFA s_ofcpath3
1F0A s_ofcpath3s
1F1A s_ofcpath4
1F2A s_ofcpain
1F3A s_ofcpain1
1F4A s_ofcshoot1
1F5A s_ofcshoot2
1F6A s_ofcshoot3
1F7A s_ofcchase1
1F8A s_ofcchase1s
1F9A s_ofcchase2
1FAA s_ofcchase3
1FBA s_ofcchase3s
1FCA s_ofcchase4
1FDA s_ofcdie1
1FEA s_ofcdie2
1FFA s_ofcdie3
200A s_ofcdie4
201A s_ofcdie5
202A s_mutstand
203A s_mutpath1
204A s_mutpath1s
205A s_mutpath2
206A s_mutpath3
207A s_mutpath3s
208A s_mutpath4
209A s_mutpain
20AA s_mutpain1
20BA s_mutshoot1
20CA s_mutshoot2
20DA s_mutshoot3
