190C s_player
191C s_attack
1BFA s_rocket
1C0A s_smoke1
1C1A s_smoke2
1C2A s_smoke3
1C3A s_smoke4
1C4A s_boom1
1C5A s_boom2
1C6A s_boom3
1C7A s_grdstand
1C8A s_grdpath1
1C9A s_grdpath1s
1CAA s_grdpath2
1CBA s_grdpath3
1CCA s_grdpath3s
1CDA s_grdpath4
1CEA s_grdpain
1CFA s_grdpain1
1D0A s_grdshoot1
1D1A s_grdshoot2
1D2A s_grdshoot3
1D3A s_grdchase1
1D4A s_grdchase1s
1D5A s_grdchase2
1D6A s_grdchase3
1D7A s_grdchase3s
1D8A s_grdchase4
1D9A s_grddie1
1DAA s_grddie2
1DBA s_grddie3
1DCA s_grddie4
1DDA s_blinkychase1
1DEA s_blinkychase2
1DFA s_inkychase1
1E0A s_inkychase2
1E1A s_pinkychase1
1E2A s_pinkychase2
1E3A s_clydechase1
1E4A s_clydechase2
1E5A s_dogpath1
1E6A s_dogpath1s
1E7A s_dogpath2
1E8A s_dogpath3
1E9A s_dogpath3s
1EAA s_dogpath4
1EBA s_dogjump1
1ECA s_dogjump2
1EDA s_dogjump3
1EEA s_dogjump4
1EFA s_dogjump5
1F0A s_dogchase1
1F1A s_dogchase1s
1F2A s_dogchase2
1F3A s_dogchase3
1F4A s_dogchase3s
1F5A s_dogchase4
1F6A s_dogdie1
1F7A s_dogdie2
1F8A s_dogdie3
1F9A s_dogdead
1FAA s_ofcstand
1FBA s_ofcpath1
1FCA s_ofcpath1s
1FDA s_ofcpath2
1FEA s_ofcpath3
1FFA s_ofcpath3s
200A s_ofcpath4
201A s_ofcpain
202A s_ofcpain1
203A s_ofcshoot1
204A s_ofcshoot2
205A s_ofcshoot3
206A s_ofcchase1
207A s_ofcchase1s
208A s_ofcchase2
209A s_ofcchase3
20AA s_ofcchase3s
20BA s_ofcchase4
20CA s_ofcdie1
20DA s_ofcdie2
20EA s_ofcdie3
20FA s_ofcdie4
210A s_ofcdie5
211A s_mutstand
212A s_mutpath1
213A s_mutpath1s
214A s_mutpath2
215A s_mutpath3
216A s_mutpath3s
217A s_mutpath4
218A s_mutpain
219A s_mutpain1
21AA s_mutshoot1
21BA s_mutshoot2
21CA s_mutshoot3
21DA s_mutshoot4
21EA s_mutchase1
21FA s_mutchase1s
220A s_mutchase2
221A s_mutchase3
222A s_mutchase3s
223A s_mutchase4
224A s_mutdie1
225A s_mutdie2
226A s_mutdie3
227A s_mutdie4
228A s_mutdie5
229A s_ssstand
22AA s_sspath1
22BA s_sspath1s
22CA s_sspath2
22DA s_sspath3
22EA s_sspath3s
22FA s_sspath4
230A s_sspain
231A s_sspain1
232A s_ssshoot1
233A s_ssshoot2
234A s_ssshoot3
235A s_ssshoot4
236A s_ssshoot5
237A s_ssshoot6
238A s_ssshoot7
239A s_ssshoot8
23AA s_ssshoot9
23BA s_sschase1
23CA s_sschase1s
23DA s_sschase2
23EA s_sschase3
23FA s_sschase3s
240A s_sschase4
241A s_ssdie1
242A s_ssdie2
243A s_ssdie3
244A s_ssdie4
245A s_bossstand
246A s_bosschase1
247A s_bosschase1s
248A s_bosschase2
249A s_bosschase3
24AA s_bosschase3s
24BA s_bosschase4
24CA s_bossdie1
24DA s_bossdie2
24EA s_bossdie3
24FA s_bossdie4
250A s_bossshoot1
251A s_bossshoot2
252A s_bossshoot3
253A s_bossshoot4
254A s_bossshoot5
255A s_bossshoot6
256A s_bossshoot7
257A s_bossshoot8
258A s_gretelstand
259A s_gretelchase1
25AA s_gretelchase1s
25BA s_gretelchase2
25CA s_gretelchase3
25DA s_gretelchase3s
25EA s_gretelchase4
25FA s_greteldie1
260A s_greteldie2
261A s_greteldie3
262A s_greteldie4
263A s_gretelshoot1
264A s_gretelshoot2
265A s_gretelshoot3
266A s_gretelshoot4
267A s_gretelshoot5
268A s_gretelshoot6
269A s_gretelshoot7
26AA s_gretelshoot8
26CC s_schabbstand
26DC s_schabbchase1
26EC s_schabbchase1s
26FC s_schabbchase2
270C s_schabbchase3
271C s_schabbchase3s
272C s_schabbchase4
273C s_schabbdeathcam
274C s_schabbdie1
275C s_schabbdie2
276C s_schabbdie3
277C s_schabbdie4
278C s_schabbdie5
279C s_schabbdie6
27AC s_schabbshoot1
27BC s_schabbshoot2
27CC s_needle1
27DC s_needle2
27EC s_needle3
27FC s_needle4
280C s_giftstand
281C s_giftchase1
